"OBJECTID","GEOID10","GEOID20","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","CSA","CSA_Name","CBSA","CBSA_Name","CBSA_POP","CBSA_EMP","CBSA_WRK","Ac_Total","Ac_Water","Ac_Land","Ac_Unpr","TotPop","CountHU","HH","P_WrkAge","AutoOwn0","Pct_AO0","AutoOwn1","Pct_AO1","AutoOwn2p","Pct_AO2p","Workers","R_LowWageWk","R_MedWageWk","R_HiWageWk","R_PCTLOWWAGE","TotEmp","E5_Ret","E5_Off","E5_Ind","E5_Svc","E5_Ent","E8_Ret","E8_off","E8_Ind","E8_Svc","E8_Ent","E8_Ed","E8_Hlth","E8_Pub","E_LowWageWk","E_MedWageWk","E_HiWageWk","E_PctLowWage","D1A","D1B","D1C","D1C5_RET","D1C5_OFF","D1C5_IND","D1C5_SVC","D1C5_ENT","D1C8_RET","D1C8_OFF","D1C8_IND","D1C8_SVC","D1C8_ENT","D1C8_ED","D1C8_HLTH","D1C8_PUB","D1D","D1_FLAG","D2A_JPHH","D2B_E5MIX","D2B_E5MIXA","D2B_E8MIX","D2B_E8MIXA","D2A_EPHHM","D2C_TRPMX1","D2C_TRPMX2","D2C_TRIPEQ","D2R_JOBPOP","D2R_WRKEMP","D2A_WRKEMP","D2C_WREMLX","D3A","D3AAO","D3AMM","D3APO","D3B","D3BAO","D3BMM3","D3BMM4","D3BPO3","D3BPO4","D4A","D4B025","D4B050","D4C","D4D","D4E","D5AR","D5AE","D5BR","D5BE","D5CR","D5CRI","D5CE","D5CEI","D5DR","D5DRI","D5DE","D5DEI","D2A_Ranked","D2B_Ranked","D3B_Ranked","D4A_Ranked","NatWalkInd","Shape_Length","Shape_Area"
95112,1.9061e+11,1.9061e+11,19,61,10104,2,NA,"",20220,"Dubuque, IA",96802,59883,53282,4780.275521,0,4780.275521,4729.251623,3818,1365,1308,0.526,0,0,221,0.168960245,1087,0.831039755,2375,571,572,1232,0.240421053,129,23,14,42,48,2,23,14,42,41,2,0,7,0,44,48,37,0.341085271,0.288629176,0.807315894,0.027277043,0.004863349,0.002960299,0.008880898,0.010149597,0.0004229,0.004863349,0.002960299,0.008880898,0.008669448,0.0004229,0,0.00148015,0,0.315906219,0,0.098623853,0.836473667,0.836473667,0.837626214,0.721744118,0.236002517,0.287721294,0.302081363,0.003996996,0.065366101,0.103035144,18.41085271,2.74513e-08,4.052288483,0.038965179,0.762325044,3.25099826,9.152275807,0.133883496,2.54378643,0.401650489,8.166893274,1.606601956,-99999,0,0,-99999,-99999,-99999,17085,15794,-99999,-99999,0.011950553,0.618595894,0.013094926,0.732390447,-99999,-99999,-99999,-99999,4,16,5,1,5.333333333,25179.85756,19345511.39
95113,1.9155e+11,1.9155e+11,19,155,21200,2,420,"Omaha-Council Bluffs-Fremont, NE-IA",36540,"Omaha-Council Bluffs, NE-IA",922891,481123,467163,148.4542206,33.6248738,114.8293468,114.82935,511,206,206,0.566,0,0,65,0.315533981,141,0.684466019,295,83,121,91,0.281355932,13,1,0,11,1,0,1,0,11,1,0,0,0,0,3,3,7,0.230769231,1.793966438,4.450081795,0.113211474,0.008708575,0,0.095794324,0.008708575,0,0.008708575,0,0.095794324,0.008708575,0,0,0,0,1.907177912,0,0.063106796,0.487852771,0.333011324,0.487852771,0.257742783,0.185400707,0.098510004,0.077331787,2.05e-13,0.049618321,0.084415584,22.69230769,3.79446e-10,23.38368347,0,0,23.38368347,154.2407102,0,0,0,122.6167386,72.45534554,-99999,0,0,-99999,-99999,-99999,47608,41267,-99999,-99999,0.000856642,0.430592236,0.000847417,0.460610322,-99999,-99999,-99999,-99999,3,3,18,1,7.333333333,5085.00045,600784.6931
95114,1.9155e+11,1.9155e+11,19,155,21200,3,420,"Omaha-Council Bluffs-Fremont, NE-IA",36540,"Omaha-Council Bluffs, NE-IA",922891,481123,467163,778.9266583,52.6797432,726.2469151,718.70888,1401,493,434,0.464,0,0,220,0.506912442,214,0.493087558,590,160,249,181,0.271186441,733,31,73,389,71,169,31,73,389,59,169,0,12,0,138,240,355,0.188267394,0.685952287,1.949328913,1.019884435,0.043132902,0.101571028,0.541248356,0.09878826,0.235143887,0.043132902,0.101571028,0.541248356,0.082091653,0.235143887,0,0.016696607,0,1.705836722,0,1.688940092,0.785454783,0.785454783,0.730090795,0.629085775,0.811476421,0.744585547,0.74403038,0.564551689,0.686972821,0.89191232,0.804911323,0.822761695,9.979367183,1.549290893,0.090434144,8.339642146,32.91001931,2.643728958,0,0,30.84350451,12.3374018,-99999,0,0,0.67,0.590432801,0.00047823,54751,47013,-99999,-99999,0.000985171,0.495197352,0.000965411,0.524745513,-99999,-99999,-99999,-99999,19,13,8,1,8.333333333,9773.404962,3152274.129
95115,1.9155e+11,1.9155e+11,19,155,30800,1,420,"Omaha-Council Bluffs-Fremont, NE-IA",36540,"Omaha-Council Bluffs, NE-IA",922891,481123,467163,241.0393783,0,241.0393783,231.35162,957,364,364,0.533,34,0.093406593,191,0.524725275,139,0.381868132,628,158,271,199,0.251592357,194,12,0,158,14,10,12,0,158,14,10,0,0,0,48,67,79,0.24742268,1.573362659,4.136560617,0.838550428,0.051869099,0,0.682943132,0.060513948,0.043224249,0.051869099,0,0.682943132,0.060513948,0.043224249,0,0,0,2.411913087,0,0.532967033,0.491865807,0.423670146,0.491865807,0.327910538,0.548675208,0.524693049,0.474041076,0.16984769,0.337098175,0.472019465,3.237113402,0.106766251,22.08703696,0.023032538,1.255504005,20.80850042,135.4374552,0,0,2.655167817,71.68953107,84.96537016,-99999,0,0,-99999,-99999,-99999,70880,62460,-99999,-99999,0.00127539,0.641076661,0.001282615,0.697160461,-99999,-99999,-99999,-99999,12,4,17,1,8.666666667,3978.146236,975468.0313
95116,1.9155e+11,1.9155e+11,19,155,21200,4,420,"Omaha-Council Bluffs-Fremont, NE-IA",36540,"Omaha-Council Bluffs, NE-IA",922891,481123,467163,249.9053263,26.0653435,223.8399828,206.98909,674,336,255,0.547,0,0,98,0.384313725,157,0.615686275,459,123,176,160,0.267973856,237,12,45,56,91,33,12,3,56,1,33,66,24,42,58,81,98,0.244725738,1.623273961,3.256210267,1.144987883,0.05797407,0.217402763,0.27054566,0.439636698,0.159428693,0.05797407,0.014493518,0.27054566,0.004831173,0.159428693,0.318857385,0.11594814,0.202909245,2.768261844,0,0.929411765,0.900591961,0.900591961,0.836475931,0.836475931,0.776157158,0.72627062,0.772059159,0.663917105,0.520307355,0.681034483,1.936708861,0.391915564,19.60650339,0.106690665,0.349920546,19.14989218,128.7205245,0,2.859185352,2.859185352,168.6919358,11.43674141,1121.18,0,0,0.67,1.915654186,0.000994065,58161,49877,11264,5057,0.001046529,0.526039217,0.001024224,0.556712653,0.001582214,0.152537782,0.001164605,0.112086353,18,20,16,13,16,5058.334131,1011352.512
95117,1.9155e+11,1.9155e+11,19,155,21701,3,420,"Omaha-Council Bluffs-Fremont, NE-IA",36540,"Omaha-Council Bluffs, NE-IA",922891,481123,467163,552.8192859,0,552.8192859,552.8192859,1266,527,471,0.588,10,0.021231423,128,0.271762208,333,0.707006369,535,139,168,228,0.259813084,307,15,9,50,221,12,15,9,50,5,12,146,70,0,88,108,111,0.286644951,0.953295251,2.290079294,0.555335184,0.027133641,0.016280185,0.09044547,0.399768976,0.021706913,0.027133641,0.016280185,0.09044547,0.009044547,0.021706913,0.264100772,0.126623658,0,1.508630435,0,0.651804671,0.565338889,0.565338889,0.735323296,0.688104492,0.574742978,0.544611871,0.582771621,0.713333127,0.390336936,0.729216152,1.74267101,0.47584124,9.91859183,1.234476186,0,8.684115644,44.00772661,8.10391409,0,0,45.1503785,13.89242415,-99999,0,0,-99999,-99999,-99999,8080,7726,-99999,-99999,0.000145389,0.073079845,0.000158653,0.086235378,-99999,-99999,-99999,-99999,12,15,9,1,7.833333333,6501.063601,2237232.156
95118,1.9155e+11,1.9155e+11,19,155,21603,2,420,"Omaha-Council Bluffs-Fremont, NE-IA",36540,"Omaha-Council Bluffs, NE-IA",922891,481123,467163,49065.25484,42.5360411,49022.7188,49022.7188,1083,448,400,0.537,0,0,33,0.0825,367,0.9175,601,138,165,298,0.229617304,156,17,46,64,14,15,17,46,64,10,15,0,4,0,36,47,73,0.230769231,0.00913862,0.022091798,0.003182198,0.000346778,0.00093834,0.001305517,0.000285582,0.000305981,0.000346778,0.00093834,0.001305517,0.000203987,0.000305981,0,8.15948e-05,0,0.012320818,0,0.39,0.875283018,0.875283018,0.816183511,0.703267923,0.551830024,0.557678254,0.569646832,0.210214321,0.251815981,0.412153236,3.852564103,0.057696192,2.084041609,1.846712334,0.054827826,0.182501449,0.156688168,1.33162749,0,0,0.078331029,0.104441372,-99999,0,0,-99999,-99999,-99999,12753,11707,-99999,-99999,0.000229473,0.115344959,0.000240403,0.130670149,-99999,-99999,-99999,-99999,12,16,1,1,5.333333333,67864.72774,198564376.3
95119,1.9155e+11,1.9155e+11,19,155,21200,1,420,"Omaha-Council Bluffs-Fremont, NE-IA",36540,"Omaha-Council Bluffs, NE-IA",922891,481123,467163,113.9857474,0,113.9857474,113.9857474,1206,497,461,0.62,34,0.073752711,124,0.268980477,303,0.657266811,505,120,193,192,0.237623762,7,0,0,7,0,0,0,0,7,0,0,0,0,0,2,3,2,0.285714286,4.360194247,10.58027014,0.061411187,0,0,0.061411187,0,0,0,0,0.061411187,0,0,0,0,0,4.421605433,0,0.015184382,0,0,0,0,0.112102626,0.010592645,0,0,0.011541632,0.02734375,72.14285714,0,35.39707878,0,0,35.39707878,301.3822411,0,0,0,174.0568488,185.2863229,-99999,0,0,-99999,-99999,-99999,51321,44306,-99999,-99999,0.000923452,0.464174596,0.000909823,0.494530762,-99999,-99999,-99999,-99999,2,1,20,1,7.5,3444.507027,461294.4035
95120,1.9155e+11,1.9155e+11,19,155,31900,2,420,"Omaha-Council Bluffs-Fremont, NE-IA",36540,"Omaha-Council Bluffs, NE-IA",922891,481123,467163,4211.58599,328.6276798,3882.958311,3882.95831,1016,416,389,0.524,0,0,178,0.457583548,211,0.542416452,574,110,192,272,0.191637631,626,27,7,359,233,0,27,7,359,14,0,219,0,0,99,169,358,0.158146965,0.10713481,0.26165617,0.161217286,0.006953461,0.001802749,0.092455281,0.060005795,0,0.006953461,0.001802749,0.092455281,0.003605498,0,0.056400297,0,0,0.268352096,0,1.609254499,0.629415661,0.542149141,0.594693082,0.460278192,0.74795107,0.560209963,0.518698096,0.606601553,0.762484775,0.956666667,0.916932907,0.9202894,3.701426166,1.119487241,0.483105739,2.098833185,4.836724605,0.494468353,0.659291137,0.329645569,5.109506313,0.659291137,-99999,0,0,-99999,-99999,-99999,50267,44237,-99999,-99999,0.000904487,0.454641656,0.000908406,0.493760604,-99999,-99999,-99999,-99999,17,7,4,1,5.666666667,18727.49962,17044060.92
95121,1.90675e+11,1.90675e+11,19,67,480200,2,NA,"",NA,"",0,0,0,37668.11476,0,37668.11476,37538.08588,803,390,317,0.518,16,0.050473186,91,0.287066246,210,0.662460568,450,128,144,178,0.284444444,228,0,2,98,116,12,0,2,98,0,12,0,116,0,51,99,78,0.223684211,0.010389448,0.021391608,0.006073831,0,5.32792e-05,0.002610682,0.003090195,0.000319675,0,5.32792e-05,0.002610682,0,0.000319675,0,0.003090195,0,0.01646328,0,0.719242902,0.651561432,0.56122447,0.651561432,0.434374288,0.657142007,0.55511199,0.559121921,0.825553311,0,0,1.973684211,0.377688986,2.450230868,0.413177723,0.062549027,1.974504119,1.846697145,0.49272442,0.067961989,0.118933481,1.121372818,0.934477348,-99999,0,0,-99999,-99999,-99999,3573,3759,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,15,6,2,1,4.5,60857.04448,152440783.6
